product_id,product_name,sector,strength_score,weight_capacity_score,barrier_score ,biodegradability_score,co2_emission_score,recyclability_percent,cost_score,reuse_potential_score
1,Smartphone box,Electronics,3,3,3,85,70,72,3,2
2,Laptop shipping pack,Electronics,3,4,3,88,70,73,3,2
3,Earbuds/headphones retail box,Electronics,3,3,3,85,70,75,3,2
4,Fragile gadget shipper with loose fill,Electronics,3,3,3,90,78,55,3,2
5,Snack bar wrapper,Food,3,3,4,80,75,28,4,1
6,Chips / dry snacks bag,Food,3,3,5,65,55,20,3,1
7,Ready-meal tray ,Food,3,3,4,85,80,45,3,1
8,Beverage can,Food,5,5,5,0,55,85,3,2
9,Sauce or jam jar,Food,4,3,5,0,50,82,3,4
10,Dairy in paper based cup,Food,3,3,4,60,60,40,3,1
11,Premium chocolate box,Food,3,3,3,85,70,75,4,3
12,Glass skincare jar,Cosmetics,4,3,5,10,52,80,3,4
13,PCR PET skincare bottle,Cosmetics,4,4,4,0,55,58,2,3
14,Bamboo-cased lipstick / compact,Cosmetics,4,4,4,70,80,45,4,4
15,Aluminium cosmetic tin,Cosmetics,5,5,5,0,55,85,3,4
16,Refillable foundation bottle,Cosmetics,4,4,5,40,60,60,5,5
17,Refillable aluminium bodywash bottle,Cosmetics,5,5,5,80,80,85,4,5
18,Blister pack for tablets ,Pharmaceuticals,4,3,5,5,50,30,2,1
19,Cough syrup bottle ,Pharmaceuticals,4,3,5,2,52,70,3,3
20,Soda PET bottle ,Beverages,4,4,5,0,55,60,2,4
21,Premium glass water ,Beverages,4,3,5,0,50,82,3,5
22,Tshirt shipping envelope ,Textiles/Apparel,3,3,3,80,65,60,2,2
23,Jeans retail box ,Textiles/Apparel,3,3,3,85,70,75,3,3
24,Shampoo refill pouch ,Personal Care/Home,3,3,4,70,65,40,2,4
25,Detergent pod tray ,Personal Care/Home,3,3,4,75,72,65,3,2
26,Electric kettle box,Household Appliances,4,4,3,85,70,75,3,2
27,Microwave oven shipper,Household Appliances,5,5,3,65,55,50,3,1
28,Blender packaging,Household Appliances,4,4,3,88,70,73,3,2
29,Refrigerator outer box,Household Appliances,5,5,3,80,72,70,4,2
30,Vacuum cleaner pack,Household Appliances,4,4,3,85,70,75,3,2
31,Ceiling fan box,Household Appliances,4,4,3,85,70,72,3,2
32,Iron packaging,Household Appliances,3,3,3,88,70,75,3,2
33,Air purifier box,Household Appliances,4,4,4,75,65,70,3,2
34,Coffee maker box,Household Appliances,3,3,3,85,68,70,3,2
35,Toaster packaging,Household Appliances,3,3,3,85,70,75,3,2
36,Dining chair carton,Furniture,4,5,3,70,65,50,3,2
37,Table flat pack,Furniture,5,5,3,75,68,68,4,2
38,Cushion packaging,Furniture,3,3,2,90,78,60,3,3
39,Mattress roll wrap,Furniture,4,4,3,60,55,55,3,2
40,Lamp box,Furniture,3,3,3,85,70,75,3,3
