product_id,product_name,product_category,product_weight_g,product_volume_cm3,price_inr,fragility_level,temperature_sensitivity,moisture_sensitivity,shelf_life_days,packaging_format,current_packaging_material
PRD0001,Dabur Body Wash 400 ml v2,Personal Care,400,422.27,221.4,Low,Low,Medium,720,Pouch,LDPE Plastic
PRD0002,Nestlé Namkeen 200 g,Food,200,410.27,47.69,Low,Low,Medium,240,Wrapper,LDPE Plastic
PRD0003,Sugar Cosmetics Cream 100 g,Cosmetics,100,161.27,120.5,Low,Low,Medium,720,Tube,HDPE Plastic
PRD0004,Patanjali Rice 5000 g,Grocery,5000,8920.73,324.28,Low,Low,Low,365,Bag,Kraft Paper (Unbleached)
PRD0005,Milky Mist Buttermilk 500 ml,Dairy,500,571.71,22.94,Medium,High,High,7,Pouch,HDPE Plastic
PRD0006,Saffola Pickle 1000 g,Grocery,1000,1245.42,219.74,Medium,Low,Low,540,Jar,Glass (Soda-Lime)
PRD0007,Britannia Dairy Lassi 500 ml v2,Dairy,500,528.04,20.22,Medium,High,High,10,Pouch,HDPE Plastic
PRD0008,Tropicana Juice 500 ml,Beverages,500,535.18,61.41,Medium,Medium,Low,120,Can,Steel (Carbon Steel)
PRD0009,Dolo Syrup 200 ml,Healthcare,200,211.73,113.49,Medium,Medium,Medium,540,Bottle,HDPE Plastic
PRD0010,Haldiram Chips 30 g,Food,30,46.63,10,Low,Low,Medium,240,Wrapper,Paperboard (Folding Carton)
PRD0011,Cadbury Sauce 200 g,Food,200,417.23,37.58,Medium,Low,Low,540,Jar,Glass (Soda-Lime)
PRD0012,Britannia Dairy Butter 200 g,Dairy,200,367.08,51.82,Medium,High,High,180,Wrapper,LDPE Plastic
PRD0013,Britannia Dairy Cheese 500 g v2,Dairy,500,869.29,172.6,Medium,High,High,180,Wrapper,Paperboard (Folding Carton)
PRD0014,Lizol Detergent 2000 g,Home Care,2000,3912.02,329.44,Low,Low,Low,720,Bottle,HDPE Plastic
PRD0015,Vim Floor Cleaner 1000 ml,Home Care,1000,1087.48,113.33,Low,Low,Low,720,Bag,HDPE Plastic
PRD0016,Sunfeast Namkeen 400 g,Food,400,774.63,102.24,Low,Low,Medium,240,Pouch,LDPE Plastic
PRD0017,Good Knight Insect Repellent 60 g,Home Care,60,88.4,34.44,Low,Low,Low,720,Can,Paperboard (Folding Carton)
PRD0018,Head & Shoulders Handwash 500 ml,Personal Care,500,551.15,110.04,Low,Low,Medium,720,Bottle,HDPE Plastic
PRD0019,Mi Laptop 15-inch,Electronics,2185.57,8669.62,39999,High,Low,Low,365,Box,Corrugated Cardboard
PRD0020,Kellogg's Biscuits 1000 g,Food,1000,2142.74,116.96,Low,Low,Medium,240,Box,LDPE Plastic
PRD0021,Nestlé Chocolate 80 g,Food,80,132.01,69.63,Low,Medium,High,365,Wrapper,Paperboard (Folding Carton)
PRD0022,Real Mineral Water 2000 ml,Beverages,2000,2159.18,75.75,Medium,Medium,Low,365,Can,Steel (Carbon Steel)
PRD0023,Everest Honey 500 g,Grocery,500,867.01,219.91,Medium,Low,Low,540,Jar,PET Plastic
PRD0024,Paper Boat Coffee 200 g,Beverages,200,252.05,100.32,Medium,Medium,Low,365,Box,Paperboard (Folding Carton)
PRD0025,Patanjali Pulses 2000 g,Grocery,2000,4876,234.57,Low,Low,Low,365,Pouch,PP Plastic
PRD0026,Good Knight Floor Cleaner 1000 ml,Home Care,1000,1146.13,131.46,Low,Low,Low,720,Bag,LDPE Plastic
PRD0027,Bingo Noodles 280 g v2,Food,280,586.05,51.53,Low,Low,Medium,240,Box,Paperboard (Folding Carton)
PRD0028,Mi Laptop 15-inch v2,Electronics,1351.24,6544.12,39999,High,Low,Low,365,Box,Corrugated Cardboard
PRD0029,ITC Chips 200 g,Food,200,346.83,57.67,Low,Low,Medium,240,Wrapper,LDPE Plastic
PRD0030,Dettol Lotion 200 ml,Personal Care,200,210.9,136.72,Low,Low,Medium,720,Pouch,LDPE Plastic
PRD0031,Vim Air Freshener 150 g,Home Care,150,249.24,40.39,Low,Low,Low,720,Can,Paperboard (Folding Carton)
PRD0032,MDH Pulses 500 g,Grocery,500,1247.55,56.71,Low,Low,Low,365,Pouch,PP Plastic
PRD0033,Betadine Syrup 200 ml,Healthcare,200,221.71,147.3,Medium,Medium,Medium,540,Bottle,HDPE Plastic
PRD0034,Fanta Mineral Water 1000 ml,Beverages,1000,1043.69,36.65,Medium,Medium,Low,365,Bottle,PET Plastic
PRD0035,Samsung Power Bank 10000mAh,Electronics,438.52,374.12,1299,Medium,Low,Low,365,Box,Corrugated Cardboard
PRD0036,Kellogg's Cereal 1000 g,Food,1000,2092.02,352.34,Low,Low,Medium,240,Wrapper,Cellulose Film
PRD0037,Lux Body Wash 400 ml,Personal Care,400,457.37,205.27,Low,Low,Medium,720,Bottle,HDPE Plastic
PRD0038,Maybelline Cream 100 g,Cosmetics,100,210.29,114.06,Low,Low,Medium,720,Tube,HDPE Plastic
PRD0039,Paper Boat Iced Tea 500 ml v2,Beverages,500,543.12,43.92,Medium,Medium,Low,180,Bottle,PET Plastic
PRD0040,ITC Pasta 1000 g,Food,1000,1439.25,181.79,Low,Low,Medium,240,Box,Cellulose Film
PRD0041,Dettol Handwash 750 ml,Personal Care,750,856.32,161.64,Low,Low,Medium,720,Bottle,LDPE Plastic
PRD0042,Bisleri Mineral Water 500 ml,Beverages,500,526.96,18.1,Medium,Medium,Low,365,Bottle,PET Plastic
PRD0043,Rajdhani Tea 100 g,Grocery,100,185.09,54.61,Low,Low,High,365,Bag,Kraft Paper (Unbleached)
PRD0044,Kissan Chocolate 200 g,Food,200,371.21,144.22,Low,Medium,High,365,Pouch,LDPE Plastic
PRD0045,Milky Mist Butter 500 g,Dairy,500,1056.41,119.31,Medium,High,High,180,Wrapper,Paperboard (Folding Carton)
PRD0046,Haldiram Chips 150 g,Food,150,280.14,51.61,Low,Low,Medium,240,Pouch,Paperboard (Folding Carton)
PRD0047,Sunfeast Chips 90 g,Food,90,164.96,26.56,Low,Low,Medium,240,Wrapper,Cellulose Film
PRD0048,Aashirvaad Flour 2000 g,Grocery,2000,3914.23,102.05,Low,Low,Low,365,Pouch,Kraft Paper (Unbleached)
PRD0049,Betadine Capsules 10 tablets,Healthcare,11.95,24.71,160.23,Medium,Medium,Medium,730,Box,PVC Plastic
PRD0050,Dove Conditioner 340 ml,Personal Care,340,371.64,182.97,Low,Low,Medium,720,Pouch,LDPE Plastic
PRD0051,Dettol Face Wash 100 g,Personal Care,100,170.88,83.73,Low,Low,Medium,720,Tube,HDPE Plastic
PRD0052,Cadbury Noodles 70 g,Food,70,90.85,14.88,Low,Low,Medium,240,Box,Cellulose Film
PRD0053,24 Mantra Coffee 500 g,Grocery,500,848.1,409.75,Low,Low,High,365,Pouch,PP Plastic
PRD0054,Lakmé Lipstick 5 g,Cosmetics,5,9.77,584.32,Low,Low,Medium,1095,Box,Glass (Soda-Lime)
PRD0055,Himalaya Tablets 30 tablets,Healthcare,32.67,70.7,159.36,Medium,Medium,Medium,730,Blister,PVC Plastic
PRD0056,Mi Power Bank 20000mAh,Electronics,604.37,580.44,2299,Medium,Low,Low,365,Box,Corrugated Cardboard
PRD0057,Parle Noodles 70 g,Food,70,102.74,13.34,Low,Low,Medium,240,Box,Paperboard (Folding Carton)
PRD0058,Soframycin Cream 100 g,Healthcare,100,158.86,209.35,Medium,Medium,Medium,540,Tube,HDPE Plastic
PRD0059,Nestlé Chocolate 40 g,Food,40,54.11,30.08,Low,Medium,High,365,Pouch,LDPE Plastic
PRD0060,Apple Smartwatch Wearable,Electronics,53.43,175.81,1499,Medium,Low,Low,365,Box,Paperboard (Folding Carton)
PRD0061,Himalaya Cream 50 g,Healthcare,50,90.87,203.34,Medium,Medium,Medium,540,Tube,HDPE Plastic
PRD0062,ITC Chips 30 g,Food,30,43.35,10,Low,Low,Medium,240,Wrapper,Paperboard (Folding Carton)
