product_id,product_name,product_category,product_weight_g,product_volume_cm3,price_inr,fragility_level,temperature_sensitivity,moisture_sensitivity,shelf_life_days,packaging_format,current_packaging_material,flag_weight_outlier,flag_volume_outlier,flag_price_outlier
PRD0001,Dabur Body Wash 400 ml v2,Personal Care,400.0,422.27,221.4,Low,Low,Medium,720,Pouch,LDPE Plastic,False,False,False
PRD0002,Nestlé Namkeen 200 g,Food,200.0,410.27,47.69,Low,Low,Medium,240,Wrapper,LDPE Plastic,False,False,False
PRD0003,Sugar Cosmetics Cream 100 g,Cosmetics,100.0,161.27,120.5,Low,Low,Medium,720,Tube,HDPE Plastic,False,False,False
PRD0004,Patanjali Rice 5000 g,Grocery,5000.0,8920.73,324.28,Low,Low,Low,365,Bag,Kraft Paper (Unbleached),False,False,False
PRD0005,Milky Mist Buttermilk 500 ml,Dairy,500.0,571.71,22.94,Medium,High,High,7,Pouch,HDPE Plastic,False,False,False
PRD0006,Saffola Pickle 1000 g,Grocery,1000.0,1245.42,219.74,Medium,Low,Low,540,Jar,Glass (Soda-Lime),False,False,False
PRD0007,Britannia Dairy Lassi 500 ml v2,Dairy,500.0,528.04,20.22,Medium,High,High,10,Pouch,HDPE Plastic,False,False,False
PRD0008,Tropicana Juice 500 ml,Beverages,500.0,535.18,61.41,Medium,Medium,Low,120,Can,Steel (Carbon Steel),False,False,False
PRD0009,Dolo Syrup 200 ml,Healthcare,200.0,211.73,113.49,Medium,Medium,Medium,540,Bottle,HDPE Plastic,False,False,False
PRD0010,Haldiram Chips 30 g,Food,30.0,46.63,10.0,Low,Low,Medium,240,Wrapper,Paperboard (Folding Carton),False,False,False
PRD0011,Cadbury Sauce 200 g,Food,200.0,417.23,37.58,Medium,Low,Low,540,Jar,Glass (Soda-Lime),False,False,False
PRD0012,Britannia Dairy Butter 200 g,Dairy,200.0,367.08,51.82,Medium,High,High,180,Wrapper,LDPE Plastic,False,False,False
PRD0013,Britannia Dairy Cheese 500 g v2,Dairy,500.0,869.29,172.6,Medium,High,High,180,Wrapper,Paperboard (Folding Carton),False,False,False
PRD0014,Lizol Detergent 2000 g,Home Care,2000.0,3912.02,329.44,Low,Low,Low,720,Bottle,HDPE Plastic,False,False,False
PRD0015,Vim Floor Cleaner 1000 ml,Home Care,1000.0,1087.48,113.33,Low,Low,Low,720,Bag,HDPE Plastic,False,False,False
PRD0016,Sunfeast Namkeen 400 g,Food,400.0,774.63,102.24,Low,Low,Medium,240,Pouch,LDPE Plastic,False,False,False
PRD0017,Good Knight Insect Repellent 60 g,Home Care,60.0,88.4,34.44,Low,Low,Low,720,Can,Paperboard (Folding Carton),False,False,False
PRD0018,Head & Shoulders Handwash 500 ml,Personal Care,500.0,551.15,110.04,Low,Low,Medium,720,Bottle,HDPE Plastic,False,False,False
PRD0019,Mi Laptop 15-inch,Electronics,2185.57,8669.62,39999.0,High,Low,Low,365,Box,Corrugated Cardboard,False,False,True
PRD0020,Kellogg's Biscuits 1000 g,Food,1000.0,2142.74,116.96,Low,Low,Medium,240,Box,LDPE Plastic,False,False,False
PRD0021,Nestlé Chocolate 80 g,Food,80.0,132.01,69.63,Low,Medium,High,365,Wrapper,Paperboard (Folding Carton),False,False,False
PRD0022,Real Mineral Water 2000 ml,Beverages,2000.0,2159.18,75.75,Medium,Medium,Low,365,Can,Steel (Carbon Steel),False,False,False
PRD0023,Everest Honey 500 g,Grocery,500.0,867.01,219.91,Medium,Low,Low,540,Jar,PET Plastic,False,False,False
PRD0024,Paper Boat Coffee 200 g,Beverages,200.0,252.05,100.32,Medium,Medium,Low,365,Box,Paperboard (Folding Carton),False,False,False
PRD0025,Patanjali Pulses 2000 g,Grocery,2000.0,4876.0,234.57,Low,Low,Low,365,Pouch,PP Plastic,False,False,False
PRD0026,Good Knight Floor Cleaner 1000 ml,Home Care,1000.0,1146.13,131.46,Low,Low,Low,720,Bag,LDPE Plastic,False,False,False
PRD0027,Bingo Noodles 280 g v2,Food,280.0,586.05,51.53,Low,Low,Medium,240,Box,Paperboard (Folding Carton),False,False,False
